elementType,editType,scriptLength,specialCharRatio,GSB,jsEval,class
110,1,-1,0.0,-1,-1,benign
38,3,-1,-1,-1,-1,benign
110,1,-1,0.05454545454545454,-1,-1,benign
110,1,-1,0.05454545454545454,-1,-1,benign
110,1,-1,0.05454545454545454,-1,-1,benign
110,1,-1,0.05454545454545454,-1,-1,benign
110,1,-1,0.05454545454545454,-1,-1,benign
110,1,-1,0.05454545454545454,-1,-1,benign
110,1,-1,0.05454545454545454,-1,-1,benign
110,1,-1,0.05454545454545454,-1,-1,benign
110,1,-1,0.05454545454545454,-1,-1,benign
138,2,-1,0.18518518518518517,-1,-1,benign
138,2,-1,0.18518518518518517,-1,-1,benign
138,2,-1,0.18518518518518517,-1,-1,benign
138,2,-1,0.1509433962264151,-1,-1,benign
138,2,-1,0.1509433962264151,-1,-1,benign
138,2,-1,0.1509433962264151,-1,-1,benign
138,2,-1,0.1509433962264151,-1,-1,benign
138,2,-1,0.1509433962264151,-1,-1,benign
138,2,-1,0.1509433962264151,-1,-1,benign
77,2,-1,0.25,-1,-1,benign
77,2,-1,0.25,-1,-1,benign
77,2,-1,0.25,-1,-1,benign
77,2,-1,0.25,-1,-1,benign
77,2,-1,0.25,-1,-1,benign
6,2,-1,0.25,-1,-1,benign
6,2,-1,0.25,-1,-1,benign
6,2,-1,0.25,-1,-1,benign
6,2,-1,0.25,-1,-1,benign
6,2,-1,0.24675324675324675,-1,-1,benign
6,2,-1,0.24675324675324675,-1,-1,benign
6,2,-1,0.24675324675324675,-1,-1,benign
6,2,-1,0.24675324675324675,-1,-1,benign
6,2,-1,0.24675324675324675,-1,-1,benign
6,2,-1,0.24675324675324675,-1,-1,benign
6,2,-1,0.24675324675324675,-1,-1,benign
6,2,-1,0.24675324675324675,-1,-1,benign
6,2,-1,0.24675324675324675,-1,-1,benign
6,2,-1,0.24675324675324675,-1,-1,benign
6,2,-1,0.24675324675324675,-1,-1,benign
6,2,-1,0.24675324675324675,-1,-1,benign
0,2,-1,0.1956521739130435,-1,-1,benign
0,2,-1,0.1956521739130435,-1,-1,benign
0,2,-1,0.1956521739130435,-1,-1,benign
0,2,-1,0.1956521739130435,-1,-1,benign
0,2,-1,0.1956521739130435,-1,-1,benign
38,2,-1,0.19230769230769232,-1,-1,benign
38,1,-1,0.0,-1,-1,benign
38,1,-1,0.0,-1,-1,benign
0,2,-1,0.1956521739130435,-1,-1,benign
0,2,-1,0.1956521739130435,-1,-1,benign
0,2,-1,0.1956521739130435,-1,-1,benign
0,2,-1,0.1956521739130435,-1,-1,benign
0,2,-1,0.1956521739130435,-1,-1,benign
